系統識別碼,填寫時間,溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律,資訊科技應用,,,,
1100788709,2023/06/15,3.71,3.86,4.00,4.43,4.50,3.50,3.86,4.50,,,,
1100788709,2025/06/29,4.29,4.43,4.50,4.43,4.50,2.67,4.00,4.13,,,,
1101633619,2024/02/27,4.00,3.71,4.00,4.00,3.83,3.50,3.86,4.00,,,,
1101633619,2025/06/19,3.86,3.71,4.17,4.14,4.00,4.17,4.29,4.13,,,,
1102688629,2023/06/25,5.00,5.00,5.00,5.00,4.83,4.50,4.57,4.63,,,,
1102688629,2025/06/24,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,
1108677689,2023/03/21,3.86,3.29,4.17,4.86,4.50,3.83,4.86,4.13,,,,
1108677689,2025/06/27,4.71,4.29,4.00,4.14,4.67,4.33,4.43,4.38,,,,
1110788709,2024/02/18,3.14,3.29,3.00,4.00,3.50,3.33,3.86,2.88,,,,
1110788709,2025/06/10,3.57,3.57,3.33,3.86,3.33,3.17,4.43,3.50,,,,
1112688629,2022/08/25,3.71,4.00,4.00,3.71,3.83,4.00,4.71,4.25,,,,
1112688629,2025/03/24,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,
1113744739,2022/08/30,3.57,3.86,3.67,4.29,3.67,2.83,4.29,3.75,,,,
1113744739,2025/03/24,3.14,3.43,4.00,4.14,3.50,3.17,4.43,4.25,,,,
1114688649,2022/08/30,3.00,3.00,3.33,3.57,3.67,2.50,3.86,3.88,,,,
1114688649,2025/03/24,3.29,3.29,3.17,3.86,3.83,2.67,4.00,4.00,,,,
1114777749,2022/09/21,2.71,3.00,3.00,3.29,3.33,3.50,3.43,3.38,,,,
1114777749,2025/03/24,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.25,,,,
1114788749,2022/08/23,3.00,3.86,3.17,3.86,3.67,3.83,3.43,2.75,,,,
1114788749,2025/03/24,4.14,4.00,3.67,4.00,4.00,3.67,4.00,4.00,,,,
1115688659,2022/09/22,3.71,3.71,2.67,3.71,3.00,3.00,4.29,3.38,,,,
1115688659,2025/03/24,3.86,3.86,3.17,4.00,4.83,2.83,4.71,4.88,,,,
1115766759,2022/10/01,3.29,3.14,3.00,3.00,3.00,3.00,3.00,3.00,,,,
1115766759,2025/03/24,3.71,3.14,3.33,3.86,4.00,3.67,4.00,4.00,,,,
1115777759,2022/12/31,3.57,3.29,3.33,3.57,4.00,3.33,3.86,4.00,,,,
1115777759,2025/03/24,3.71,3.57,3.33,3.71,3.50,3.33,3.57,4.00,,,,
1116766769,2022/09/30,3.43,3.29,3.33,4.29,4.17,3.83,4.43,4.63,,,,
1116766769,2025/03/24,3.71,3.86,3.83,4.29,3.83,3.50,4.14,4.00,,,,
1118688689,2022/08/25,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,,,
1118688689,2025/03/24,4.00,4.00,4.00,4.00,4.00,3.50,4.00,4.00,,,,
1119677699,2023/01/03,2.71,3.00,4.00,3.43,3.17,2.17,3.43,2.00,,,,
1119677699,2025/04/25,3.86,3.71,4.33,4.71,3.00,2.50,3.57,3.13,,,,
