系統識別碼,團隊合作差值,填寫時間_舊,填寫時間_新,服務學習時數,工讀時數,社團幹部,社團參與,修課平均成績,系排PR
1100777709,-0.4299999999999997,2023-05-27,2023-12-21,56.0,411.0,1,1,68.07000000000001,24.587142857142855
1100788709,0.1399999999999996,2023-03-15,2025-06-29,187.0,85.0,1,1,87.17714285714285,90.77714285714286
1101633619,0.1399999999999996,2024-02-27,2025-06-19,92.0,347.0,0,0,71.28571428571429,32.76428571428571
1102688629,0.0,2023-06-25,2025-06-24,141.5,151.5,0,1,75.01142857142858,48.22571428571428
1104733749,-0.29,2021-12-10,2023-12-21,52.5,0.0,0,1,83.05142857142857,76.35571428571428
1108677689,-0.7200000000000006,2023-03-21,2025-06-27,81.5,31.0,0,1,79.12857142857142,64.23428571428572
1110755709,0.4300000000000006,2023-01-03,2025-03-24,88.0,355.0,1,1,73.56800000000001,54.436
1110788709,0.4299999999999997,2022-12-15,2025-06-10,65.0,48.0,1,1,83.248,83.938
1111666619,0.0,2022-08-24,2023-01-01,2.0,0.0,0,1,81.215,77.34
1111688619,-1.14,2022-09-01,2025-03-24,46.0,0.0,1,1,75.622,55.83
1111744719,-1.71,2023-01-03,2025-03-24,75.0,0.0,1,1,83.894,83.462
1112655629,0.0,2022-12-28,2025-03-24,47.0,0.0,0,1,73.636,52.404
1112666629,0.2800000000000002,2023-01-04,2025-03-24,0.0,0.0,0,1,60.95399999999999,28.57
1112688629,-0.71,2022-08-25,2025-03-24,15.0,0.0,0,0,67.13,37.626
1112744729,1.14,2023-01-03,2025-03-24,41.0,0.0,0,0,73.478,50.668
1113655639,-0.5700000000000003,2023-01-03,2025-03-24,22.0,0.0,0,0,82.064,77.818
1113666639,1.0000000000000004,2023-01-03,2025-03-24,24.0,0.0,0,0,84.14,85.626
1113744739,-0.1500000000000003,2022-08-30,2025-03-24,106.0,5.0,1,1,82.67,78.852
1114622649,0.1399999999999996,2025-02-23,2025-04-15,18.0,0.0,0,0,74.91,47.62
1114688649,0.29,2022-08-30,2025-03-24,41.0,79.0,1,1,85.288,89.35
1114744749,-0.1499999999999999,2023-01-03,2025-03-24,172.0,121.5,1,1,75.596,57.714
1114766749,-0.7200000000000002,2023-01-03,2025-03-24,9.0,0.0,0,0,69.614,38.286
1114777749,-0.29,2022-09-21,2025-03-24,2.0,0.0,0,0,81.252,76.428
1114788749,0.1400000000000001,2022-08-23,2025-03-24,3.0,0.0,0,1,87.912,91.424
1115655659,-0.1400000000000005,2023-01-03,2025-03-24,75.0,0.0,0,0,71.762,48.244
1115666659,0.1499999999999999,2023-01-03,2025-03-24,31.0,0.0,0,1,74.88,53.476
1115688659,0.29,2022-09-22,2025-03-24,28.0,0.0,0,0,60.924,25.294
1115766759,0.8599999999999999,2022-10-01,2025-03-24,49.0,187.0,1,1,75.79400000000001,59.32000000000001
1115777759,0.1400000000000001,2022-12-31,2025-03-24,18.0,0.0,0,0,79.558,71.894
1116644669,0.7100000000000004,2022-09-22,2025-03-24,119.0,246.0,1,1,80.848,73.036
1116688669,0.1500000000000003,2022-11-22,2025-03-24,32.0,184.0,0,0,82.054,79.59
1116744769,0.0,2022-09-24,2025-03-24,15.0,0.0,1,1,47.826,12.61
1116766769,0.0,2022-09-30,2025-03-24,53.0,0.0,1,1,77.002,62.602
1116788769,-0.1400000000000001,2022-09-21,2025-03-24,160.0,148.5,1,1,85.338,86.468
1117622679,-0.8500000000000001,2024-09-23,2025-03-24,18.0,0.0,0,0,71.245,37.215
1117644679,-0.8500000000000001,2023-01-03,2025-03-24,69.5,0.0,0,1,67.096,36.71
1118666689,0.1399999999999996,2022-09-22,2025-03-24,97.0,162.0,0,1,94.374,98.626
1118688689,0.0,2022-08-25,2025-03-24,34.0,0.0,0,0,74.596,53.764
1118755789,-0.1399999999999996,2023-01-03,2025-03-24,21.0,0.0,0,1,79.178,69.67
1119666699,0.4199999999999999,2023-01-02,2025-03-24,95.5,126.0,0,1,88.076,94.754
1119677699,1.2799999999999998,2023-01-03,2025-04-25,173.0,197.0,1,1,64.862,29.288
1119766799,0.0,2022-09-22,2025-03-24,25.0,58.0,1,1,82.566,81.21000000000001
1119788799,0.0,2022-08-26,2025-03-24,18.0,0.0,0,0,82.138,78.214
1124666649,0.1399999999999996,2023-09-08,2025-02-26,3.0,0.0,1,1,78.59666666666666,57.31666666666666
1125777759,-0.2799999999999998,2023-09-08,2023-10-26,35.0,0.0,1,1,73.38333333333334,41.71666666666667
1129644699,-2.0,2023-09-08,2025-06-20,85.0,149.0,0,0,62.76333333333333,19.406666666666663
1130666609,-0.5699999999999998,2024-09-23,2025-04-12,38.0,0.0,0,1,84.83,67.2
1135777759,-0.1500000000000003,2025-04-09,2025-07-04,5.0,0.0,0,0,62.24,5.6
