系統識別碼,修課平均成績,系排PR
1100777709,68.07000000000001,24.587142857142858
1100788709,87.17714285714285,90.77714285714286
1101633619,71.28571428571429,32.76428571428571
1102688629,75.01142857142858,48.22571428571428
1104733749,83.05142857142857,76.35571428571428
1108677689,79.12857142857142,64.23428571428572
1110755709,73.56800000000001,54.436
1110788709,83.248,83.938
1111666619,81.215,77.34
1111688619,75.622,55.83
1111744719,83.894,83.462
1112655629,73.636,52.403999999999996
1112666629,60.95399999999999,28.57
1112688629,67.13,37.626
1112744729,73.478,50.668
1113655639,82.064,77.818
1113666639,84.14,85.626
1113744739,82.67,78.852
1114622649,74.91,47.62
1114688649,85.288,89.35
1114744749,75.596,57.714
1114766749,69.614,38.286
1114777749,81.252,76.428
1114788749,87.912,91.424
1115655659,71.762,48.244
1115666659,74.88,53.476
1115688659,60.924,25.294
1115766759,75.79400000000001,59.32000000000001
1115777759,79.558,71.894
1116644669,80.848,73.036
1116688669,82.054,79.59
1116744769,47.826,12.61
1116766769,77.002,62.602
1116788769,85.338,86.468
1117622679,71.245,37.215
1117644679,67.096,36.71
1118666689,94.374,98.626
1118688689,74.596,53.763999999999996
1118755789,79.178,69.67
1119666699,88.076,94.754
1119677699,64.862,29.288
1119766799,82.566,81.21000000000001
1119788799,82.138,78.214
1124666649,78.59666666666666,57.31666666666666
1125777759,73.38333333333334,41.71666666666667
1129644699,62.76333333333333,19.406666666666666
1130666609,84.83,67.2
1135777759,62.24,5.6
