系統識別碼,服務學習時數,工讀時數
1100777709,56,411
1100788709,187,85
1101633619,92,347
1102688629,141.5,151.5
1104733749,52.5,0
1108677689,81.5,31
1110755709,88,355
1110788709,65,48
1111666619,2,0
1111688619,46,0
1111744719,75,0
1112655629,47,0
1112688629,15,0
1112744729,41,0
1113655639,22,0
1113666639,24,0
1113744739,106,5
1114622649,18,0
1114688649,41,79
1114744749,172,121.5
1114766749,9,0
1114777749,2,0
1114788749,3,0
1115655659,75,0
1115666659,31,0
1115688659,28,0
1115766759,49,187
1115777759,18,0
1116644669,119,246
1116688669,32,184
1116744769,15,0
1116766769,53,0
1116788769,160,148.5
1117622679,18,0
1117644679,69.5,0
1118666689,97,162
1118688689,34,0
1118755789,21,0
1119666699,95.5,126
1119677699,173,197
1119766799,25,58
1119788799,18,0
1124666649,3,0
1125777759,35,0
1129644699,85,149
1130666609,38,0
1135777759,5,0
