系統識別碼,社團幹部,社團參與
1119677699,1,1
1112666629,0,1
1117644679,0,1
1114688649,1,1
1119666699,0,1
1112655629,0,1
1114788749,0,1
1119766799,1,1
1114777749,0,0
1117622679,0,0
1112744729,0,0
1124666649,1,1
1129644699,0,0
1114766749,0,0
1116688669,0,0
1116788769,1,1
1111688619,1,1
1114744749,1,1
1116766769,1,1
1118688689,0,0
1104733749,0,1
1114622649,0,0
1108677689,0,1
1111666619,0,1
1116644669,1,1
1116744769,1,1
1118666689,0,1
1118755789,0,1
1111744719,1,1
1113666639,0,0
1101633619,0,0
1115688659,0,0
1113655639,0,0
1115777759,0,0
1125777759,1,1
1135777759,0,0
1113744739,1,1
1115666659,0,1
1100788709,1,1
1110788709,1,1
1115766759,1,1
1115655659,0,0
1100777709,1,1
1130666609,0,1
1102688629,0,1
1112688629,0,0
1110755709,1,1
1119788799,0,0
